,ID,RC,PR,F3
0,C1,1.0,0.6375,0.93
1,C2,1.0,0.728,0.906
2,C3,1.0,0.6013333333333334,0.9040000000000001
3,D1,1.0,0.7199999999800001,0.9466909090600002
4,D2,0.769,0.5,0.7278686183
5,D3,0.96,0.5268846153846154,0.876301412876923
6,D4,1.0,0.3144081632928572,0.8058476890642856
7,D5,1.0,0.49833333335,0.9077573874499999
8,D6,0.7,0.9,0.7000000000000001
9,D7,0.55,0.3444999999999999,0.50106153845
10,D8,0.7,0.269,0.5290367893
11,D9,0.398,0.4916666666999999,0.4039117547999999
12,M1,1.0,0.28200000000000003,0.7939999999999999
13,M2,1.0,0.32200000000000006,0.8240000000000001
14,M3,1.0,0.258,0.7719999999999999
15,R1,1.0,0.256,0.766
16,R2,1.0,0.512142857142857,0.8891428571428571
17,R3,1.0,0.21999999999999997,0.734
18,R4,1.0,0.5005714285714286,0.8846825396825396
19,R5,1.0,0.4215,0.8341666666666668
20,R6,1.0,0.253,0.7699999999999999
21,R7,1.0,0.5,0.9099999999999999
