id,issue,GPT_AJS_OLD,GPT_AJS_NEW
0,R2,1,1.0
0,R4,1,1.0
0,M1,1,0.5
0,M3,1,0.5
0,R6,1,0
0,R5,1,1.0
0,R7,1,1.0
0,M2,1,0.67
1,R2,1,1.0
1,R4,1,1.0
1,M1,1,0.5
1,M3,1,0.5
1,R6,1,0
1,R5,1,1.0
1,R7,1,1.0
1,M2,1,0.67
2,R2,1,1.0
2,R4,1,1.0
2,M1,1,0.5
2,M3,1,0.5
2,R6,1,0
2,R5,1,1.0
2,R7,1,1.0
2,M2,1,0.67
3,R2,1,1.0
3,R4,1,1.0
3,M1,1,0.5
3,M3,1,0.5
3,R6,1,0
3,R5,1,1.0
3,R7,1,1.0
3,M2,1,0.67
4,R2,1,1.0
4,R4,1,1.0
4,M1,1,0.5
4,M3,1,0.5
4,R6,1,0
4,R5,1,1.0
4,R7,1,1.0
4,M2,1,0.67
5,R2,1,1.0
5,R4,1,1.0
5,M1,1,0.5
5,M3,1,0.5
5,R6,1,0
5,R5,1,1.0
5,R7,1,1.0
5,M2,1,0.67
6,R2,1,1.0
6,R4,1,1.0
6,M1,1,0.5
6,M3,1,0.5
6,R6,1,0
6,R5,1,1.0
6,R7,1,1.0
6,M2,1,0.67
7,R2,1,1.0
7,R4,1,1.0
7,M1,1,0.5
7,M3,1,0.5
7,R6,1,0
7,R5,1,1.0
7,R7,1,1.0
7,M2,1,0.67
8,R2,1,1.0
8,R4,1,1.0
8,M1,1,0.5
8,M3,1,0.5
8,R6,1,0
8,R5,1,1.0
8,R7,1,1.0
8,M2,1,0.67
9,R2,1,1.0
9,R4,1,1.0
9,M1,1,0.5
9,M3,1,0.5
9,R6,1,0
9,R5,1,1.0
9,R7,1,1.0
9,M2,1,0.67
